feature,importance
decreased,0.0
decreasing,0.0
decree,0.0
dedicated,0.0
deep,0.0
deeper,0.0
deeply,0.0
defecate,0.0
defecation,0.0
defence,0.0
defense,0.0
deficiency,0.0
deficient,0.0
deficit,0.0
deforestation,0.0
degradation,0.0
degraded,0.0
degree,0.0
dehydration,0.0
del,0.0
delay,0.0
delayed,0.0
delegate,0.0
delegation,0.0
delhi,0.0
deliberate,0.0
deliberately,0.0
deliver,0.0
delivered,0.0
delivering,0.0
delivers,0.0
delivery,0.0
delma,0.0
delmas,0.0
delta,0.00076947437
deluge,0.0
demand,0.0
demanding,0.0
democracy,0.0
democratic,0.0
democratically,0.0
demolished,0.0
demonstrated,0.0
demonstrating,0.0
demonstration,0.0
demonstrator,0.0
dengue,0.0
denied,0.0
denounce,0.0
dense,0.0
densely,0.0
density,0.0
dental,0.0
departement,0.0
department,0.0
departure,0.0
depend,0.0
dependence,0.0
dependent,0.0
depending,0.0
depends,0.0
depleted,0.0
depletion,0.0
deploy,0.0
deployed,0.0
deployment,0.0
deposit,0.0
deposited,0.0
depot,0.0
depression,0.0
dept,0.0
depth,0.0
deputy,0.0
dera,0.0
desalination,0.0
describe,0.0
described,0.0
desert,0.0
desertification,0.0
design,0.0
designated,0.0
designed,0.0
desk,0.0
desperate,0.0
desperately,0.0
despite,0.0
dessalines,0.0
destination,0.0
destined,0.0
destitute,0.0
destroy,0.0
destroyed,0.018430274
destroying,0.0
destruction,0.0
destructive,0.0
detail,0.0
detailed,0.0
detained,0.0
detainee,0.0
detect,0.0
detected,0.0
detection,0.0
detention,0.0
detergent,0.0
deteriorate,0.0
deteriorating,0.0
deterioration,0.0
determination,0.0
determine,0.0
determined,0.0
devastated,0.00042792314
devastating,0.0
devastation,0.0
develop,0.0022737803
developed,0.0
developing,0.0
development,0.001885001
device,0.0
devouring,0.0
dew,0.0
deyr,0.0
dfid,0.0
dgi,0.0
dhaka,0.0
di,0.0
diabetes,0.0
diagnosed,0.0
diagnosis,0.0
diagnostic,0.0
dialogue,0.0
diameter,0.0
diamond,0.0
diaper,0.0
diarrhea,0.0
diarrheal,0.0
diarrhoea,0.0
diarrhoeal,0.0
dichato,0.0
didnt,0.0
die,0.0
died,0.0
diesel,0.0
diet,0.0020906741
difference,0.0
different,0.0
difficult,0.0013649053
difficulty,0.0
dig,0.0
digg,0.0
digging,0.0
digicel,0.0
digicell,0.0
dike,0.0
dilapidated,0.0
dine,0.0
dinner,0.0
diphtheria,0.0
diploma,0.0
diplomatic,0.0
diquini,0.0
dire,0.0
direct,0.0
directed,0.0
direction,0.0
directly,0.0
director,0.0
directorate,0.0
dirt,0.0
dirty,0.0
disability,0.0
disappearance,0.0
disappeared,0.0
disaster,0.018363534
disastrous,0.0
disbursement,0.0
discharge,0.0
discharged,0.0
discovered,0.0
discrimination,0.0
discus,0.0
discussed,0.0
discussion,0.0
disease,0.0022683654
dish,0.0
disinfect,0.0
disinfectant,0.0
disinfecting,0.0
disinfection,0.0
disorder,0.0
dispatch,0.0
dispatched,0.0
dispatching,0.0
disperse,0.0
displaced,0.0
displacement,0.0
displacing,0.0
disposal,0.0
dispute,0.0
disputed,0.0
disrupted,0.0
disrupting,0.0
disruption,0.0
disseminate,0.0
dist,0.0
distance,0.0
distress,0.0
distribute,0.0
distributed,0.0
distributing,0.00044051456
distribution,0.000422163
district,0.00058599014
